ART_AND_DESIGN VS AUTO_AND_VEHICLES:	 statistic= -22.979285707231192;	 p_value= 2.391195303312757e-115;
EVENTS VS NEWS_AND_MAGAZINES:	 statistic= 10.378522317055053;	 p_value= 4.0255058844685615e-25;
EVENTS VS PARENTING:	 statistic= -6.310365817155336;	 p_value= 2.846939460276515e-10;
EVENTS VS PERSONALIZATION:	 statistic= 32.69703364108314;	 p_value= 1.292408715615253e-225;
EVENTS VS PHOTOGRAPHY:	 statistic= 12.374371232563865;	 p_value= 6.939441387210691e-35;
EVENTS VS PRODUCTIVITY:	 statistic= 12.261590727153337;	 p_value= 2.6260831325681305e-34;
EVENTS VS SHOPPING:	 statistic= 3.441314550758002;	 p_value= 0.0005814508316198252;
EVENTS VS SOCIAL:	 statistic= 8.763226099480612;	 p_value= 2.2037028877714666e-18;
EVENTS VS SPORTS:	 statistic= 6.504468876513595;	 p_value= 8.051852621665367e-11;
EVENTS VS TOOLS:	 statistic= 14.007653562954504;	 p_value= 3.2429008021429114e-44;
EVENTS VS VIDEO_PLAYERS:	 statistic= 13.822975554600458;	 p_value= 5.483340222130601e-43;
EVENTS VS WEATHER:	 statistic= 12.085964611161554;	 p_value= 2.0006727291336538e-33;
EVENTS VS GAME:	 statistic= 32.89632113471533;	 p_value= 1.5592847242207992e-235;
FINANCE VS FOOD_AND_DRINK:	 statistic= 7.769618535226473;	 p_value= 8.479275556615449e-15;
FINANCE VS HEALTH_AND_FITNESS:	 statistic= 11.319901709229564;	 p_value= 2.611448651916847e-29;
FINANCE VS HOUSE_AND_HOME:	 statistic= 10.454922025862201;	 p_value= 1.798035767237371e-25;
FINANCE VS LIBRARIES_AND_DEMO:	 statistic= 31.08878359082621;	 p_value= 1.357911877209351e-201;
FINANCE VS LIFESTYLE:	 statistic= 17.45083579651647;	 p_value= 2.888886612113432e-67;
FINANCE VS MAPS_AND_NAVIGATION:	 statistic= 25.59597129899912;	 p_value= 8.057695275873024e-141;
FINANCE VS MEDICAL:	 statistic= 8.075741733982053;	 p_value= 7.284055449482642e-16;
FINANCE VS MUSIC_AND_AUDIO:	 statistic= 27.8139675970786;	 p_value= 2.2194321678169608e-160;
FINANCE VS NEWS_AND_MAGAZINES:	 statistic= 22.71607261018461;	 p_value= 1.237253229276875e-110;
FINANCE VS PARENTING:	 statistic= 10.950641032581915;	 p_value= 8.417605503195536e-28;
FINANCE VS PERSONALIZATION:	 statistic= 44.76021468598192;	 p_value= 0.0;
FINANCE VS PHOTOGRAPHY:	 statistic= 20.964702481931315;	 p_value= 7.58007655746194e-94;
FINANCE VS PRODUCTIVITY:	 statistic= 21.727344422258557;	 p_value= 7.811405540239e-101;
FINANCE VS SHOPPING:	 statistic= 13.786831383669087;	 p_value= 1.4773151915379537e-42;
FINANCE VS SOCIAL:	 statistic= 19.81530307061548;	 p_value= 6.985606430331017e-85;
FINANCE VS SPORTS:	 statistic= 21.06448732481516;	 p_value= 1.3764142478841854e-96;
FINANCE VS TOOLS:	 statistic= 25.42506168501132;	 p_value= 4.2132966521283537e-137;
FINANCE VS TRAVEL_AND_LOCAL:	 statistic= 10.473392924322646;	 p_value= 1.9245056763611297e-25;
FINANCE VS VIDEO_PLAYERS:	 statistic= 20.61452815758044;	 p_value= 1.5897666226027895e-90;
FINANCE VS WEATHER:	 statistic= 24.39871811042926;	 p_value= 8.357074052505459e-127;
FINANCE VS GAME:	 statistic= 48.034662436843696;	 p_value= 0.0;
FOOD_AND_DRINK VS HEALTH_AND_FITNESS:	 statistic= 7.912771632183357;	 p_value= 2.7871089621078204e-15;
FOOD_AND_DRINK VS HOUSE_AND_HOME:	 statistic= 4.254534016178945;	 p_value= 2.1059300648264178e-05;
FOOD_AND_DRINK VS LIBRARIES_AND_DEMO:	 statistic= 27.91398498986148;	 p_value= 4.981366056846588e-167;
FOOD_AND_DRINK VS LIFESTYLE:	 statistic= 12.007726080183811;	 p_value= 4.479852380463031e-33;
FOOD_AND_DRINK VS MAPS_AND_NAVIGATION:	 statistic= 21.165237558270984;	 p_value= 3.28978250051875e-98;
FOOD_AND_DRINK VS MUSIC_AND_AUDIO:	 statistic= 23.507582662148884;	 p_value= 2.1732217851262772e-119;
FOOD_AND_DRINK VS NEWS_AND_MAGAZINES:	 statistic= 17.776302114523034;	 p_value= 7.086278849763917e-70;
FOOD_AND_DRINK VS PARENTING:	 statistic= 3.7485348768117595;	 p_value= 0.0001783627917783257;
FOOD_AND_DRINK VS PERSONALIZATION:	 statistic= 40.206166165605765;	 p_value= 0.0;
FOOD_AND_DRINK VS PHOTOGRAPHY:	 statistic= 16.77839454707312;	 p_value= 2.1745484597073094e-62;
FOOD_AND_DRINK VS PRODUCTIVITY:	 statistic= 17.663025285364682;	 p_value= 6.624062409280276e-69;
FOOD_AND_DRINK VS SHOPPING:	 statistic= 9.116123477737148;	 p_value= 9.124993267325314e-20;
FOOD_AND_DRINK VS SOCIAL:	 statistic= 15.015395522152772;	 p_value= 1.690260488324739e-50;
FOOD_AND_DRINK VS SPORTS:	 statistic= 16.010719494352266;	 p_value= 2.930224841135488e-57;
FOOD_AND_DRINK VS TOOLS:	 statistic= 21.247250602044137;	 p_value= 1.521735091806793e-98;
FOOD_AND_DRINK VS TRAVEL_AND_LOCAL:	 statistic= 5.122017080462868;	 p_value= 3.0729451210645606e-07;
FOOD_AND_DRINK VS VIDEO_PLAYERS:	 statistic= 17.03150783332699;	 p_value= 3.6848663475534016e-64;
FOOD_AND_DRINK VS WEATHER:	 statistic= 19.5142812036782;	 p_value= 1.2272667966715727e-83;
FOOD_AND_DRINK VS GAME:	 statistic= 52.16531637819046;	 p_value= 0.0;
HEALTH_AND_FITNESS VS HOUSE_AND_HOME:	 statistic= -5.6064430872671895;	 p_value= 2.1259940591622583e-08;
HEALTH_AND_FITNESS VS LIBRARIES_AND_DEMO:	 statistic= 5.899153958222921;	 p_value= 3.846252610936941e-09;
HEALTH_AND_FITNESS VS LIFESTYLE:	 statistic= -3.0664652490972424;	 p_value= 0.0021733349124348606;
HEALTH_AND_FITNESS VS MEDICAL:	 statistic= -8.060247522098486;	 p_value= 8.44261647219438e-16;
HEALTH_AND_FITNESS VS MUSIC_AND_AUDIO:	 statistic= 8.496662464740758;	 p_value= 2.896239357737001e-17;
HEALTH_AND_FITNESS VS PARENTING:	 statistic= -6.653808676403965;	 p_value= 2.978323611052971e-11;
HEALTH_AND_FITNESS VS PERSONALIZATION:	 statistic= 14.038958197008462;	 p_value= 3.5879961902718887e-44;
HEALTH_AND_FITNESS VS PHOTOGRAPHY:	 statistic= 4.970369514077432;	 p_value= 7.117053422606544e-07;
HEALTH_AND_FITNESS VS PRODUCTIVITY:	 statistic= 3.5980545446756196;	 p_value= 0.0003253511788909395;
HEALTH_AND_FITNESS VS TOOLS:	 statistic= 3.187621398694132;	 p_value= 0.001443141336277245;
HEALTH_AND_FITNESS VS TRAVEL_AND_LOCAL:	 statistic= -5.0441016949058115;	 p_value= 4.820591474817544e-07;
HEALTH_AND_FITNESS VS VIDEO_PLAYERS:	 statistic= 7.758210825850954;	 p_value= 1.3518609339489547e-14;
HEALTH_AND_FITNESS VS WEATHER:	 statistic= 2.064111682227522;	 p_value= 0.03905739303717508;
HEALTH_AND_FITNESS VS GAME:	 statistic= 6.565837212286499;	 p_value= 5.2136892079759394e-11;
HOUSE_AND_HOME VS LIBRARIES_AND_DEMO:	 statistic= 22.23548627788081;	 p_value= 1.3105459460054166e-107;
HOUSE_AND_HOME VS LIFESTYLE:	 statistic= 7.101982595106395;	 p_value= 1.2841168013831722e-12;
HOUSE_AND_HOME VS MAPS_AND_NAVIGATION:	 statistic= 15.243844514155695;	 p_value= 4.030458956076325e-52;
HOUSE_AND_HOME VS MEDICAL:	 statistic= -4.258043173892825;	 p_value= 2.0728166046373674e-05;
HOUSE_AND_HOME VS MUSIC_AND_AUDIO:	 statistic= 19.011232530821257;	 p_value= 2.806796801045796e-79;
HOUSE_AND_HOME VS NEWS_AND_MAGAZINES:	 statistic= 13.04547480109212;	 p_value= 1.217465904147091e-38;
HOUSE_AND_HOME VS PERSONALIZATION:	 statistic= 33.13607508355392;	 p_value= 4.958500904233144e-232;
HOUSE_AND_HOME VS PHOTOGRAPHY:	 statistic= 13.169505308905517;	 p_value= 2.807572607986874e-39;
HOUSE_AND_HOME VS PRODUCTIVITY:	 statistic= 13.670659272341675;	 p_value= 3.4657194573449074e-42;
HOUSE_AND_HOME VS SHOPPING:	 statistic= 5.875939850004159;	 p_value= 4.335636701838387e-09;
HOUSE_AND_HOME VS SOCIAL:	 statistic= 10.95562917888705;	 p_value= 8.681821928838962e-28;
HOUSE_AND_HOME VS SPORTS:	 statistic= 10.716604008325886;	 p_value= 1.0551170750007255e-26;
HOUSE_AND_HOME VS TOOLS:	 statistic= 16.297985730463036;	 p_value= 4.184164242477425e-59;
HOUSE_AND_HOME VS TRAVEL_AND_LOCAL:	 statistic= 2.0410498260689462;	 p_value= 0.041271093231809025;
HOUSE_AND_HOME VS VIDEO_PLAYERS:	 statistic= 13.815621244452291;	 p_value= 5.420815428745321e-43;
HOUSE_AND_HOME VS WEATHER:	 statistic= 14.601712375104468;	 p_value= 6.820738369547024e-48;
HOUSE_AND_HOME VS GAME:	 statistic= 41.76058356887086;	 p_value= 0.0;
LIBRARIES_AND_DEMO VS LIFESTYLE:	 statistic= -17.395156105591667;	 p_value= 5.5653293384451505e-67;
LIBRARIES_AND_DEMO VS MAPS_AND_NAVIGATION:	 statistic= -11.607835890218938;	 p_value= 5.212739116443846e-31;
LIBRARIES_AND_DEMO VS MEDICAL:	 statistic= -28.54750725912348;	 p_value= 1.3870712588272822e-174;
LIBRARIES_AND_DEMO VS MUSIC_AND_AUDIO:	 statistic= 2.9341259454381907;	 p_value= 0.00335460443295564;
LIBRARIES_AND_DEMO VS NEWS_AND_MAGAZINES:	 statistic= -8.632317519495366;	 p_value= 6.984666376524587e-18;
LIBRARIES_AND_DEMO VS PARENTING:	 statistic= -25.915359808405505;	 p_value= 3.323765596210021e-145;
LIBRARIES_AND_DEMO VS PERSONALIZATION:	 statistic= 9.534772341799634;	 p_value= 1.8048006874285722e-21;
LIBRARIES_AND_DEMO VS PRODUCTIVITY:	 statistic= -3.0202113419299015;	 p_value= 0.0025342123155394176;
LIBRARIES_AND_DEMO VS SHOPPING:	 statistic= -11.271734544832892;	 p_value= 3.1279570075747014e-29;
LIBRARIES_AND_DEMO VS SOCIAL:	 statistic= -7.998181296285607;	 p_value= 1.4351200885772049e-15;
LIBRARIES_AND_DEMO VS SPORTS:	 statistic= -14.612603213027427;	 p_value= 5.729902912591307e-48;
LIBRARIES_AND_DEMO VS TOOLS:	 statistic= -4.756381283580869;	 p_value= 1.9997090052696593e-06;
LIBRARIES_AND_DEMO VS TRAVEL_AND_LOCAL:	 statistic= -16.69110766133898;	 p_value= 1.8981579922233862e-61;
LIBRARIES_AND_DEMO VS VIDEO_PLAYERS:	 statistic= 2.6993174943436555;	 p_value= 0.006966117422107479;
LIBRARIES_AND_DEMO VS WEATHER:	 statistic= -7.282271510018396;	 p_value= 3.5406168676480317e-13;
LIFESTYLE VS MAPS_AND_NAVIGATION:	 statistic= 7.971870368023834;	 p_value= 1.6694003858552394e-15;
LIFESTYLE VS MEDICAL:	 statistic= -12.217242427408554;	 p_value= 3.518422845639787e-34;
LIFESTYLE VS MUSIC_AND_AUDIO:	 statistic= 16.487947417703825;	 p_value= 3.0246618766637194e-60;
LIFESTYLE VS NEWS_AND_MAGAZINES:	 statistic= 7.89620999500953;	 p_value= 3.1434266231709354e-15;
LIFESTYLE VS PARENTING:	 statistic= -9.084177673100259;	 p_value= 1.1483581455795918e-19;
LIFESTYLE VS PERSONALIZATION:	 statistic= 29.5093372291269;	 p_value= 2.1635784525653726e-185;
LIFESTYLE VS PHOTOGRAPHY:	 statistic= 10.5754245799535;	 p_value= 5.540797706675632e-26;
LIFESTYLE VS PRODUCTIVITY:	 statistic= 10.252525895607317;	 p_value= 1.5473175934123019e-24;
LIFESTYLE VS SOCIAL:	 statistic= 6.603028035251372;	 p_value= 4.2342496059165223e-11;
LIFESTYLE VS SPORTS:	 statistic= 3.6720021918722185;	 p_value= 0.00024152757834025053;
LIFESTYLE VS TOOLS:	 statistic= 11.521619876716215;	 p_value= 1.5189838317043534e-30;
LIFESTYLE VS TRAVEL_AND_LOCAL:	 statistic= -3.0567016618617706;	 p_value= 0.00224421788783905;
LIFESTYLE VS VIDEO_PLAYERS:	 statistic= 12.306813175610593;	 p_value= 1.6682405150009502e-34;
LIFESTYLE VS WEATHER:	 statistic= 9.5474902713249;	 p_value= 1.6006411325815054e-21;
LIFESTYLE VS GAME:	 statistic= 28.208613366765164;	 p_value= 4.350019240173845e-174;
MAPS_AND_NAVIGATION VS MEDICAL:	 statistic= -21.614492720530453;	 p_value= 2.4984686751531096e-102;
MAPS_AND_NAVIGATION VS MUSIC_AND_AUDIO:	 statistic= 12.253737236369416;	 p_value= 2.665938390876268e-34;
MAPS_AND_NAVIGATION VS PARENTING:	 statistic= -18.385755247688753;	 p_value= 7.080843119083187e-75;
MAPS_AND_NAVIGATION VS PERSONALIZATION:	 statistic= 23.780448412478872;	 p_value= 1.0642538740760981e-122;
MAPS_AND_NAVIGATION VS PHOTOGRAPHY:	 statistic= 6.55646922247881;	 p_value= 5.770923510670109e-11;
MAPS_AND_NAVIGATION VS PRODUCTIVITY:	 statistic= 5.585811449390154;	 p_value= 2.3809900358486608e-08;
MAPS_AND_NAVIGATION VS SHOPPING:	 statistic= -3.680638042751517;	 p_value= 0.0002337911365345796;
MAPS_AND_NAVIGATION VS SPORTS:	 statistic= -4.2088777822432135;	 p_value= 2.5804311203675957e-05;
MAPS_AND_NAVIGATION VS TOOLS:	 statistic= 5.623820704297212;	 p_value= 1.906575509779139e-08;
MAPS_AND_NAVIGATION VS TRAVEL_AND_LOCAL:	 statistic= -9.080377418930281;	 p_value= 1.268638076965129e-19;
MAPS_AND_NAVIGATION VS VIDEO_PLAYERS:	 statistic= 9.338943241465788;	 p_value= 1.1842911328598646e-20;
MAPS_AND_NAVIGATION VS WEATHER:	 statistic= 3.2380391948003897;	 p_value= 0.0012065797484258481;
MAPS_AND_NAVIGATION VS GAME:	 statistic= 18.141030273533726;	 p_value= 2.2091822715611922e-73;
MEDICAL VS MUSIC_AND_AUDIO:	 statistic= 24.02118658022029;	 p_value= 1.3467453339265243e-124;
MEDICAL VS NEWS_AND_MAGAZINES:	 statistic= 18.13859367610287;	 p_value= 1.1123169341892618e-72;
MEDICAL VS PARENTING:	 statistic= 3.7219392109617475;	 p_value= 0.00019821599321038003;
MEDICAL VS PERSONALIZATION:	 statistic= 41.120490272527086;	 p_value= 0.0;
MEDICAL VS PHOTOGRAPHY:	 statistic= 17.13071069158599;	 p_value= 5.720877265601494e-65;
MEDICAL VS PRODUCTIVITY:	 statistic= 18.036481865406763;	 p_value= 8.857766707949902e-72;
MEDICAL VS SHOPPING:	 statistic= 9.27354043990072;	 p_value= 2.1155081067456074e-20;
MEDICAL VS SOCIAL:	 statistic= 15.314050546762296;	 p_value= 1.846614226541244e-52;
MEDICAL VS SPORTS:	 statistic= 16.324590315996314;	 p_value= 1.8753522797321856e-59;
MEDICAL VS TOOLS:	 statistic= 21.704397984600583;	 p_value= 9.501798539706585e-103;
MEDICAL VS TRAVEL_AND_LOCAL:	 statistic= 5.172923945449748;	 p_value= 2.342264184379123e-07;
MEDICAL VS VIDEO_PLAYERS:	 statistic= 17.39888759138366;	 p_value= 6.854348660852894e-67;
MEDICAL VS WEATHER:	 statistic= 19.919757441134863;	 p_value= 4.50123659765119e-87;
MEDICAL VS GAME:	 statistic= 53.54600343418807;	 p_value= 0.0;
MUSIC_AND_AUDIO VS NEWS_AND_MAGAZINES:	 statistic= -10.711563451854529;	 p_value= 1.4843629776589658e-26;
MUSIC_AND_AUDIO VS PARENTING:	 statistic= -21.8299451342274;	 p_value= 6.850219376255729e-104;
MUSIC_AND_AUDIO VS PERSONALIZATION:	 statistic= 5.0097259127438125;	 p_value= 5.559541045588305e-07;
MUSIC_AND_AUDIO VS PHOTOGRAPHY:	 statistic= -4.107053233891698;	 p_value= 4.083427909725611e-05;
MUSIC_AND_AUDIO VS PRODUCTIVITY:	 statistic= -5.5319609127441405;	 p_value= 3.3316630820068243e-08;
MUSIC_AND_AUDIO VS SHOPPING:	 statistic= -13.337152273463472;	 p_value= 7.835260178378798e-40;
MUSIC_AND_AUDIO VS SOCIAL:	 statistic= -10.394072634086294;	 p_value= 4.5719320914193995e-25;
MUSIC_AND_AUDIO VS SPORTS:	 statistic= -14.572879792233097;	 p_value= 1.3122788813230264e-47;
MUSIC_AND_AUDIO VS TOOLS:	 statistic= -7.05626316253905;	 p_value= 1.881726295963368e-12;
MUSIC_AND_AUDIO VS TRAVEL_AND_LOCAL:	 statistic= -18.619668566104053;	 p_value= 1.0325641375345866e-74;
MUSIC_AND_AUDIO VS WEATHER:	 statistic= -9.606214471149942;	 p_value= 1.036551432750429e-21;
MUSIC_AND_AUDIO VS GAME:	 statistic= -4.391299052400431;	 p_value= 1.1285203660189934e-05;
NEWS_AND_MAGAZINES VS PARENTING:	 statistic= -15.472283075992543;	 p_value= 1.3483912258392816e-53;
NEWS_AND_MAGAZINES VS PERSONALIZATION:	 statistic= 20.33071866263731;	 p_value= 4.119333140662644e-90;
NEWS_AND_MAGAZINES VS PHOTOGRAPHY:	 statistic= 5.419622504854402;	 p_value= 6.211459013298894e-08;
NEWS_AND_MAGAZINES VS PRODUCTIVITY:	 statistic= 4.084558266928158;	 p_value= 4.468944901747368e-05;
NEWS_AND_MAGAZINES VS SHOPPING:	 statistic= -4.568458307408997;	 p_value= 5.008746563405629e-06;
NEWS_AND_MAGAZINES VS SPORTS:	 statistic= -4.9284390408120275;	 p_value= 8.405097398455497e-07;
NEWS_AND_MAGAZINES VS TOOLS:	 statistic= 3.634926406334605;	 p_value= 0.0002797309667010168;
NEWS_AND_MAGAZINES VS TRAVEL_AND_LOCAL:	 statistic= -9.690696992202303;	 p_value= 4.697656857311747e-22;
NEWS_AND_MAGAZINES VS VIDEO_PLAYERS:	 statistic= 8.628077456424894;	 p_value= 8.145901880698393e-18;
NEWS_AND_MAGAZINES VS GAME:	 statistic= 11.079525730338032;	 p_value= 1.6696391323797116e-28;
PARENTING VS PERSONALIZATION:	 statistic= 38.01820544761517;	 p_value= 6.635784851220338e-304;
PARENTING VS PHOTOGRAPHY:	 statistic= 15.218586652122136;	 p_value= 7.413528021470076e-52;
PARENTING VS PRODUCTIVITY:	 statistic= 15.922958751573733;	 p_value= 1.408556914702716e-56;
PARENTING VS SHOPPING:	 statistic= 7.200953561521967;	 p_value= 6.29859041950841e-13;
PARENTING VS SOCIAL:	 statistic= 12.970844469981838;	 p_value= 2.95558662341712e-38;
PARENTING VS SPORTS:	 statistic= 13.182612241240413;	 p_value= 1.6601077470246414e-39;
PARENTING VS TOOLS:	 statistic= 19.12862196498019;	 p_value= 1.2273841050255174e-80;
PARENTING VS TRAVEL_AND_LOCAL:	 statistic= 2.9607735926121723;	 p_value= 0.0030739985991008493;
PARENTING VS VIDEO_PLAYERS:	 statistic= 15.802000043374942;	 p_value= 1.043109335976432e-55;
PARENTING VS WEATHER:	 statistic= 17.222832736475727;	 p_value= 7.289242244473917e-66;
PARENTING VS GAME:	 statistic= 50.35875063964632;	 p_value= 0.0;
PERSONALIZATION VS PHOTOGRAPHY:	 statistic= -9.70290454799486;	 p_value= 3.9025873263195254e-22;
PERSONALIZATION VS PRODUCTIVITY:	 statistic= -12.04573901491335;	 p_value= 3.7965955351729897e-33;
PERSONALIZATION VS SHOPPING:	 statistic= -22.386146270641742;	 p_value= 8.9658315523537e-108;
PERSONALIZATION VS SOCIAL:	 statistic= -19.08716679853052;	 p_value= 1.2142803536020297e-79;
PERSONALIZATION VS SPORTS:	 statistic= -26.84240232235161;	 p_value= 1.2012076118383643e-154;
PERSONALIZATION VS TOOLS:	 statistic= -15.135383377105304;	 p_value= 3.340360030387237e-51;
PERSONALIZATION VS TRAVEL_AND_LOCAL:	 statistic= -29.76816614748327;	 p_value= 4.023953350842811e-185;
PERSONALIZATION VS VIDEO_PLAYERS:	 statistic= -3.101931691752384;	 p_value= 0.0019299876090301555;
PERSONALIZATION VS WEATHER:	 statistic= -18.87557351470464;	 p_value= 3.6852668964266335e-78;
PERSONALIZATION VS GAME:	 statistic= -13.82656841402241;	 p_value= 2.0140342543867272e-43;
PHOTOGRAPHY VS SHOPPING:	 statistic= -8.478073994973554;	 p_value= 3.2332968816171663e-17;
PHOTOGRAPHY VS SOCIAL:	 statistic= -5.419773283224015;	 p_value= 6.272995416631866e-08;
PHOTOGRAPHY VS SPORTS:	 statistic= -8.751028826051636;	 p_value= 2.4935974087630398e-18;
PHOTOGRAPHY VS TOOLS:	 statistic= -2.3588847015825714;	 p_value= 0.018361959690203235;
PHOTOGRAPHY VS TRAVEL_AND_LOCAL:	 statistic= -13.012351889734202;	 p_value= 6.204608583047732e-38;
PHOTOGRAPHY VS VIDEO_PLAYERS:	 statistic= 4.037990669488516;	 p_value= 5.5304438722906865e-05;
PHOTOGRAPHY VS WEATHER:	 statistic= -4.358334984865843;	 p_value= 1.3324648245949795e-05;
PRODUCTIVITY VS SHOPPING:	 statistic= -7.255700148544948;	 p_value= 4.686879470445749e-13;
PRODUCTIVITY VS SOCIAL:	 statistic= -4.0325740084014505;	 p_value= 5.594919243946439e-05;
PRODUCTIVITY VS SPORTS:	 statistic= -8.089004340753712;	 p_value= 6.733469144925338e-16;
PRODUCTIVITY VS TRAVEL_AND_LOCAL:	 statistic= -11.801291153209464;	 p_value= 1.090342258369249e-31;
PRODUCTIVITY VS VIDEO_PLAYERS:	 statistic= 4.834685886090048;	 p_value= 1.389604920714415e-06;
PRODUCTIVITY VS WEATHER:	 statistic= -2.919232747429855;	 p_value= 0.0035206866728496274;
PRODUCTIVITY VS GAME:	 statistic= 3.1887705644493565;	 p_value= 0.0014294659944384428;
SHOPPING VS SOCIAL:	 statistic= 3.9862120170476825;	 p_value= 6.810918866809473e-05;
SHOPPING VS TOOLS:	 statistic= 7.293181232860406;	 p_value= 3.39871358842882e-13;
SHOPPING VS TRAVEL_AND_LOCAL:	 statistic= -4.005891523900924;	 p_value= 6.283353985975397e-05;
SHOPPING VS VIDEO_PLAYERS:	 statistic= 10.919264853953056;	 p_value= 2.7744200484973557e-27;
SHOPPING VS WEATHER:	 statistic= 5.867535263899055;	 p_value= 4.64724401161763e-09;
SHOPPING VS GAME:	 statistic= 13.968176923287512;	 p_value= 2.82580701074943e-44;
SOCIAL VS SPORTS:	 statistic= -4.01287257743146;	 p_value= 6.0413720213058414e-05;
SOCIAL VS TOOLS:	 statistic= 3.565179094821855;	 p_value= 0.0003660004293994388;
SOCIAL VS TRAVEL_AND_LOCAL:	 statistic= -8.710697355902628;	 p_value= 4.029751362422897e-18;
SOCIAL VS VIDEO_PLAYERS:	 statistic= 8.60428991452994;	 p_value= 1.0844068237830075e-17;
SOCIAL VS GAME:	 statistic= 9.731134713644161;	 p_value= 2.299591987498973e-22;
SPORTS VS TOOLS:	 statistic= 8.743711669057653;	 p_value= 2.5664673166550783e-18;
SPORTS VS TRAVEL_AND_LOCAL:	 statistic= -5.861236233676454;	 p_value= 4.746690674752709e-09;
SPORTS VS VIDEO_PLAYERS:	 statistic= 11.003805134725411;	 p_value= 5.655615018048566e-28;
SPORTS VS WEATHER:	 statistic= 6.5960091851294065;	 p_value= 4.407586568743703e-11;
SPORTS VS GAME:	 statistic= 22.908505736158638;	 p_value= 1.0175217750921732e-115;
TOOLS VS TRAVEL_AND_LOCAL:	 statistic= -12.38989740941048;	 p_value= 7.365339290674812e-35;
TOOLS VS VIDEO_PLAYERS:	 statistic= 5.805253665782057;	 p_value= 6.792377605848778e-09;
TOOLS VS WEATHER:	 statistic= -2.2469120666611313;	 p_value= 0.02467121429345812;
TOOLS VS GAME:	 statistic= 5.809134661428418;	 p_value= 6.30789167214053e-09;
TRAVEL_AND_LOCAL VS VIDEO_PLAYERS:	 statistic= 15.05180136377685;	 p_value= 1.305588722343447e-49;
TRAVEL_AND_LOCAL VS WEATHER:	 statistic= 11.161626032170481;	 p_value= 1.146627403740555e-28;
TRAVEL_AND_LOCAL VS GAME:	 statistic= 21.032485180125033;	 p_value= 7.012208906194745e-98;
VIDEO_PLAYERS VS WEATHER:	 statistic= -7.825908175610792;	 p_value= 6.016196720409466e-15;
VIDEO_PLAYERS VS GAME:	 statistic= -3.6723263302930773;	 p_value= 0.00024054777425828737;
WEATHER VS GAME:	 statistic= 9.12965196611017;	 p_value= 7.05618971575724e-20;
