ART_AND_DESIGN VS AUTO_AND_VEHICLES:	 statistic= 8.79067901992308;	 p_value= 1.6053715899921308e-18;
EVENTS VS TOOLS:	 statistic= -4.196618696462339;	 p_value= 2.7297606391317435e-05;
EVENTS VS TRAVEL_AND_LOCAL:	 statistic= 5.946928776791558;	 p_value= 2.8294708394720166e-09;
EVENTS VS VIDEO_PLAYERS:	 statistic= -5.577044937724441;	 p_value= 2.522523905810606e-08;
EVENTS VS WEATHER:	 statistic= -7.136154957026216;	 p_value= 1.0177269799680282e-12;
EVENTS VS GAME:	 statistic= -20.67317300264997;	 p_value= 1.1591286460749884e-94;
FINANCE VS FOOD_AND_DRINK:	 statistic= 15.973688816574583;	 p_value= 7.022138025107535e-57;
FINANCE VS HEALTH_AND_FITNESS:	 statistic= -5.671827466930497;	 p_value= 1.5018831829848915e-08;
FINANCE VS HOUSE_AND_HOME:	 statistic= 9.433589385570844;	 p_value= 4.70177171428968e-21;
FINANCE VS LIBRARIES_AND_DEMO:	 statistic= 2.7933296106973096;	 p_value= 0.005227934077673006;
FINANCE VS MAPS_AND_NAVIGATION:	 statistic= -5.49584210643181;	 p_value= 3.9661150095684066e-08;
FINANCE VS MEDICAL:	 statistic= 13.418828401070032;	 p_value= 8.668062093332038e-41;
FINANCE VS MUSIC_AND_AUDIO:	 statistic= -11.235665796879523;	 p_value= 5.250271900620587e-29;
FINANCE VS PARENTING:	 statistic= -10.899472939527179;	 p_value= 1.472395434202608e-27;
FINANCE VS PERSONALIZATION:	 statistic= -10.642014323766963;	 p_value= 2.651947729133697e-26;
FINANCE VS PHOTOGRAPHY:	 statistic= 7.308763069665188;	 p_value= 3.093821304525334e-13;
FINANCE VS PRODUCTIVITY:	 statistic= -7.329334269737015;	 p_value= 2.6172890460688893e-13;
FINANCE VS SHOPPING:	 statistic= 4.791798484612431;	 p_value= 1.695064031335976e-06;
FINANCE VS SOCIAL:	 statistic= 9.270694301085765;	 p_value= 2.471047582594271e-20;
FINANCE VS SPORTS:	 statistic= -5.4342340424547615;	 p_value= 5.621337981940799e-08;
FINANCE VS TOOLS:	 statistic= -4.656481900342831;	 p_value= 3.2694699664800804e-06;
FINANCE VS TRAVEL_AND_LOCAL:	 statistic= 4.279009318427981;	 p_value= 1.907369087125473e-05;
FINANCE VS VIDEO_PLAYERS:	 statistic= -5.873356325171916;	 p_value= 4.559712239944375e-09;
FINANCE VS WEATHER:	 statistic= -7.251303625911707;	 p_value= 4.5202306980174907e-13;
FINANCE VS GAME:	 statistic= -16.75164768790781;	 p_value= 7.414241351671102e-63;
FOOD_AND_DRINK VS HEALTH_AND_FITNESS:	 statistic= -14.776521914265384;	 p_value= 6.886479009168155e-49;
FOOD_AND_DRINK VS HOUSE_AND_HOME:	 statistic= -8.339411454838304;	 p_value= 8.024564910891897e-17;
FOOD_AND_DRINK VS LIBRARIES_AND_DEMO:	 statistic= -14.710887318679262;	 p_value= 1.2391916498390289e-48;
FOOD_AND_DRINK VS LIFESTYLE:	 statistic= -19.724428859065686;	 p_value= 1.3592397863520476e-85;
FOOD_AND_DRINK VS MAPS_AND_NAVIGATION:	 statistic= -28.588931054797325;	 p_value= 8.967843511940461e-176;
FOOD_AND_DRINK VS MEDICAL:	 statistic= -3.6034924281765686;	 p_value= 0.0003147873391374065;
FOOD_AND_DRINK VS MUSIC_AND_AUDIO:	 statistic= -26.689470402582803;	 p_value= 2.5674654107977722e-152;
FOOD_AND_DRINK VS NEWS_AND_MAGAZINES:	 statistic= -17.507347625044158;	 p_value= 7.409785713525942e-68;
FOOD_AND_DRINK VS PARENTING:	 statistic= -38.173273742374626;	 p_value= 5.358903295835131e-308;
FOOD_AND_DRINK VS PERSONALIZATION:	 statistic= -32.67918118323107;	 p_value= 2.1207569423741156e-226;
FOOD_AND_DRINK VS PHOTOGRAPHY:	 statistic= -3.7509291359400807;	 p_value= 0.00017710529413305967;
FOOD_AND_DRINK VS PRODUCTIVITY:	 statistic= -22.129353645932326;	 p_value= 2.7603128127425654e-106;
FOOD_AND_DRINK VS SHOPPING:	 statistic= -7.523402544045291;	 p_value= 5.749866647236141e-14;
FOOD_AND_DRINK VS SOCIAL:	 statistic= -3.611844470890745;	 p_value= 0.0003052806386285277;
FOOD_AND_DRINK VS SPORTS:	 statistic= -27.601347793759203;	 p_value= 6.0084325305004325e-164;
FOOD_AND_DRINK VS TOOLS:	 statistic= -22.656512664722403;	 p_value= 1.5550321591320444e-111;
FOOD_AND_DRINK VS TRAVEL_AND_LOCAL:	 statistic= -8.387821115993333;	 p_value= 5.5435250547580136e-17;
FOOD_AND_DRINK VS VIDEO_PLAYERS:	 statistic= -16.41500579103947;	 p_value= 8.706402500659041e-60;
FOOD_AND_DRINK VS WEATHER:	 statistic= -26.031890130465083;	 p_value= 9.478167292306423e-146;
FOOD_AND_DRINK VS GAME:	 statistic= -57.01641920847851;	 p_value= 0.0;
HEALTH_AND_FITNESS VS HOUSE_AND_HOME:	 statistic= 11.233997685242375;	 p_value= 4.325448093968302e-29;
HEALTH_AND_FITNESS VS LIBRARIES_AND_DEMO:	 statistic= 7.429682682824957;	 p_value= 1.2352514032175127e-13;
HEALTH_AND_FITNESS VS LIFESTYLE:	 statistic= 6.091996770525577;	 p_value= 1.1669964649636302e-09;
HEALTH_AND_FITNESS VS MAPS_AND_NAVIGATION:	 statistic= 3.135729838917776;	 p_value= 0.0017194821492935585;
HEALTH_AND_FITNESS VS MEDICAL:	 statistic= 13.333171210675223;	 p_value= 3.153977719481603e-40;
HEALTH_AND_FITNESS VS NEWS_AND_MAGAZINES:	 statistic= 5.500131031606716;	 p_value= 3.984780542488598e-08;
HEALTH_AND_FITNESS VS PHOTOGRAPHY:	 statistic= 10.194792085816772;	 p_value= 5.869538774429891e-24;
HEALTH_AND_FITNESS VS SHOPPING:	 statistic= 8.706939680949072;	 p_value= 5.122880866227173e-18;
HEALTH_AND_FITNESS VS SOCIAL:	 statistic= 11.280667779609338;	 p_value= 4.818529628747547e-29;
HEALTH_AND_FITNESS VS SPORTS:	 statistic= 3.214746349555877;	 p_value= 0.0013106618913699625;
HEALTH_AND_FITNESS VS TOOLS:	 statistic= 3.0168437974143547;	 p_value= 0.0025668073037824774;
HEALTH_AND_FITNESS VS TRAVEL_AND_LOCAL:	 statistic= 8.274998352137072;	 p_value= 1.8898868675114527e-16;
HOUSE_AND_HOME VS LIBRARIES_AND_DEMO:	 statistic= -7.258034512612444;	 p_value= 4.14183265792354e-13;
HOUSE_AND_HOME VS LIFESTYLE:	 statistic= -11.449927447152055;	 p_value= 3.1271036243008367e-30;
HOUSE_AND_HOME VS MAPS_AND_NAVIGATION:	 statistic= -19.529227072840648;	 p_value= 5.258163818688593e-84;
HOUSE_AND_HOME VS MEDICAL:	 statistic= 4.947153469516222;	 p_value= 7.599385343126494e-07;
HOUSE_AND_HOME VS MUSIC_AND_AUDIO:	 statistic= -20.884177623953907;	 p_value= 5.873422024241042e-95;
HOUSE_AND_HOME VS NEWS_AND_MAGAZINES:	 statistic= -10.5924668038827;	 p_value= 4.184970581581801e-26;
HOUSE_AND_HOME VS PARENTING:	 statistic= -27.930821829581596;	 p_value= 2.3055098800567135e-168;
HOUSE_AND_HOME VS PERSONALIZATION:	 statistic= -24.45640699414034;	 p_value= 1.9496280124426526e-129;
HOUSE_AND_HOME VS PRODUCTIVITY:	 statistic= -16.448231643802977;	 p_value= 4.7867359968680445e-60;
HOUSE_AND_HOME VS SHOPPING:	 statistic= -2.30698657883267;	 p_value= 0.02107542855010318;
HOUSE_AND_HOME VS SOCIAL:	 statistic= 2.2162720839939527;	 p_value= 0.026693201886177596;
HOUSE_AND_HOME VS SPORTS:	 statistic= -18.909938416172697;	 p_value= 7.282970973142911e-79;
HOUSE_AND_HOME VS TOOLS:	 statistic= -15.596300596159168;	 p_value= 2.5251579292455243e-54;
HOUSE_AND_HOME VS TRAVEL_AND_LOCAL:	 statistic= -3.0305531276374165;	 p_value= 0.0024470701025325523;
HOUSE_AND_HOME VS VIDEO_PLAYERS:	 statistic= -12.322924625116137;	 p_value= 1.265152038303565e-34;
HOUSE_AND_HOME VS WEATHER:	 statistic= -18.80582744662209;	 p_value= 8.102470259370179e-78;
HOUSE_AND_HOME VS GAME:	 statistic= -42.37186699696365;	 p_value= 0.0;
LIBRARIES_AND_DEMO VS LIFESTYLE:	 statistic= -3.134930969027211;	 p_value= 0.0017229488655267672;
LIBRARIES_AND_DEMO VS MAPS_AND_NAVIGATION:	 statistic= -9.77935184121477;	 p_value= 1.630020711001139e-22;
LIBRARIES_AND_DEMO VS MEDICAL:	 statistic= 11.80084833156788;	 p_value= 5.356628380089718e-32;
LIBRARIES_AND_DEMO VS MUSIC_AND_AUDIO:	 statistic= -14.37993563310903;	 p_value= 2.684329072994018e-46;
LIBRARIES_AND_DEMO VS NEWS_AND_MAGAZINES:	 statistic= -3.532288424540203;	 p_value= 0.0004139436848181238;
LIBRARIES_AND_DEMO VS PARENTING:	 statistic= -16.317933505081214;	 p_value= 2.12522042979238e-59;
LIBRARIES_AND_DEMO VS PERSONALIZATION:	 statistic= -15.115487519953025;	 p_value= 3.984478713624742e-51;
LIBRARIES_AND_DEMO VS PHOTOGRAPHY:	 statistic= 5.553664118199037;	 p_value= 2.8989534203852856e-08;
LIBRARIES_AND_DEMO VS PRODUCTIVITY:	 statistic= -10.247837371098846;	 p_value= 1.7331526104315492e-24;
LIBRARIES_AND_DEMO VS SHOPPING:	 statistic= 2.741194559327654;	 p_value= 0.006136311988549684;
LIBRARIES_AND_DEMO VS SOCIAL:	 statistic= 7.459344938724235;	 p_value= 9.584267334142287e-14;
LIBRARIES_AND_DEMO VS SPORTS:	 statistic= -9.573070070100462;	 p_value= 1.2282438840715374e-21;
LIBRARIES_AND_DEMO VS TOOLS:	 statistic= -8.050005148395611;	 p_value= 9.264007488438696e-16;
LIBRARIES_AND_DEMO VS TRAVEL_AND_LOCAL:	 statistic= 2.171594994673142;	 p_value= 0.02991722463181486;
LIBRARIES_AND_DEMO VS VIDEO_PLAYERS:	 statistic= -7.920019178144605;	 p_value= 2.7722697906591505e-15;
LIBRARIES_AND_DEMO VS WEATHER:	 statistic= -10.917696281131121;	 p_value= 1.3778120386899176e-27;
LIBRARIES_AND_DEMO VS GAME:	 statistic= -24.86916133610983;	 p_value= 6.4884742051537944e-136;
LIFESTYLE VS MAPS_AND_NAVIGATION:	 statistic= -7.035596722123058;	 p_value= 2.0658082954586915e-12;
LIFESTYLE VS MEDICAL:	 statistic= 16.60110617841534;	 p_value= 2.1231702262577997e-61;
LIFESTYLE VS MUSIC_AND_AUDIO:	 statistic= -12.559218164056295;	 p_value= 6.787214578106678e-36;
LIFESTYLE VS PARENTING:	 statistic= -13.848687354258276;	 p_value= 2.138983211527101e-43;
LIFESTYLE VS PERSONALIZATION:	 statistic= -12.967242595025999;	 p_value= 3.2134107178365966e-38;
LIFESTYLE VS PHOTOGRAPHY:	 statistic= 7.960146140519932;	 p_value= 1.931262171236516e-15;
LIFESTYLE VS PRODUCTIVITY:	 statistic= -8.312185961247472;	 p_value= 1.0685679118347999e-16;
LIFESTYLE VS SHOPPING:	 statistic= 5.178057230099365;	 p_value= 2.2897762926349546e-07;
LIFESTYLE VS SOCIAL:	 statistic= 10.484699257552258;	 p_value= 1.3808316055327753e-25;
LIFESTYLE VS SPORTS:	 statistic= -6.832145549800731;	 p_value= 8.700815742424133e-12;
LIFESTYLE VS TOOLS:	 statistic= -5.6472782848084;	 p_value= 1.6693338558858546e-08;
LIFESTYLE VS TRAVEL_AND_LOCAL:	 statistic= 4.636828612834;	 p_value= 3.586187934198345e-06;
LIFESTYLE VS VIDEO_PLAYERS:	 statistic= -6.400286866155807;	 p_value= 1.6353983628976682e-10;
LIFESTYLE VS WEATHER:	 statistic= -8.57824212227407;	 p_value= 1.0883979633716496e-17;
LIFESTYLE VS GAME:	 statistic= -23.10163759208149;	 p_value= 1.2311155117208889e-117;
MAPS_AND_NAVIGATION VS MEDICAL:	 statistic= 25.36009784269002;	 p_value= 1.775208075764607e-139;
MAPS_AND_NAVIGATION VS MUSIC_AND_AUDIO:	 statistic= -8.047134897232704;	 p_value= 9.334772521613397e-16;
MAPS_AND_NAVIGATION VS NEWS_AND_MAGAZINES:	 statistic= 5.104612715469043;	 p_value= 3.362354241085978e-07;
MAPS_AND_NAVIGATION VS PARENTING:	 statistic= -6.507214747360024;	 p_value= 7.837296308060648e-11;
MAPS_AND_NAVIGATION VS PERSONALIZATION:	 statistic= -6.911777542837369;	 p_value= 4.9822645690925746e-12;
MAPS_AND_NAVIGATION VS PHOTOGRAPHY:	 statistic= 12.656259920250497;	 p_value= 1.916447644898855e-36;
MAPS_AND_NAVIGATION VS PRODUCTIVITY:	 statistic= -3.7219966382658063;	 p_value= 0.0001986321097945495;
MAPS_AND_NAVIGATION VS SHOPPING:	 statistic= 10.089371042947983;	 p_value= 7.862186570792321e-24;
MAPS_AND_NAVIGATION VS SOCIAL:	 statistic= 16.264453053722633;	 p_value= 7.959395862065316e-59;
MAPS_AND_NAVIGATION VS TRAVEL_AND_LOCAL:	 statistic= 9.639512535406093;	 p_value= 6.659678026777464e-22;
MAPS_AND_NAVIGATION VS VIDEO_PLAYERS:	 statistic= -2.9963026761158402;	 p_value= 0.0027395625033550574;
MAPS_AND_NAVIGATION VS WEATHER:	 statistic= -2.828353259659132;	 p_value= 0.004686014241364482;
MAPS_AND_NAVIGATION VS GAME:	 statistic= -14.47112999988623;	 p_value= 2.1518939789245933e-47;
MEDICAL VS MUSIC_AND_AUDIO:	 statistic= -24.43927341973442;	 p_value= 8.438216438809213e-129;
MEDICAL VS NEWS_AND_MAGAZINES:	 statistic= -14.826857857051408;	 p_value= 2.3643474845525563e-49;
MEDICAL VS PARENTING:	 statistic= -34.70977218269008;	 p_value= 1.0254423934791358e-256;
MEDICAL VS PERSONALIZATION:	 statistic= -29.76369646782279;	 p_value= 1.9889831631393122e-189;
MEDICAL VS PRODUCTIVITY:	 statistic= -19.916930292359954;	 p_value= 7.236577758348213e-87;
MEDICAL VS SHOPPING:	 statistic= -5.393456084502444;	 p_value= 7.046238352236493e-08;
MEDICAL VS SPORTS:	 statistic= -24.4389019526748;	 p_value= 1.149125405411684e-129;
MEDICAL VS TOOLS:	 statistic= -19.99024791727144;	 p_value= 1.146544338129367e-87;
MEDICAL VS TRAVEL_AND_LOCAL:	 statistic= -6.209820075883268;	 p_value= 5.482238944109051e-10;
MEDICAL VS VIDEO_PLAYERS:	 statistic= -14.764550208983056;	 p_value= 7.421210886855924e-49;
MEDICAL VS WEATHER:	 statistic= -23.305846384599327;	 p_value= 7.009632130186801e-118;
MEDICAL VS GAME:	 statistic= -53.05804323782212;	 p_value= 0.0;
MUSIC_AND_AUDIO VS NEWS_AND_MAGAZINES:	 statistic= 11.129313982146783;	 p_value= 1.6197632518112853e-28;
MUSIC_AND_AUDIO VS PARENTING:	 statistic= 4.405647203352488;	 p_value= 1.0626363098026316e-05;
MUSIC_AND_AUDIO VS PERSONALIZATION:	 statistic= 2.8289482135733857;	 p_value= 0.004680963061816152;
MUSIC_AND_AUDIO VS PHOTOGRAPHY:	 statistic= 16.806748001855766;	 p_value= 2.093181829966258e-61;
MUSIC_AND_AUDIO VS PRODUCTIVITY:	 statistic= 3.570586585678621;	 p_value= 0.0003596078519651181;
MUSIC_AND_AUDIO VS SHOPPING:	 statistic= 14.910726948214132;	 p_value= 4.010700748631998e-49;
MUSIC_AND_AUDIO VS SOCIAL:	 statistic= 19.392231373606982;	 p_value= 5.223059243189001e-81;
MUSIC_AND_AUDIO VS SPORTS:	 statistic= 8.135356618872617;	 p_value= 4.605663044726506e-16;
MUSIC_AND_AUDIO VS TOOLS:	 statistic= 7.36958122923539;	 p_value= 1.9167465997208604e-13;
MUSIC_AND_AUDIO VS TRAVEL_AND_LOCAL:	 statistic= 14.42763457040787;	 p_value= 3.3356929145803294e-46;
MUSIC_AND_AUDIO VS VIDEO_PLAYERS:	 statistic= 2.665252144984939;	 p_value= 0.007726938301639299;
MUSIC_AND_AUDIO VS WEATHER:	 statistic= 5.486615115553168;	 p_value= 4.2461763075410464e-08;
NEWS_AND_MAGAZINES VS PARENTING:	 statistic= -10.739518452200725;	 p_value= 8.257457796465231e-27;
NEWS_AND_MAGAZINES VS PERSONALIZATION:	 statistic= -10.517415337601253;	 p_value= 9.720795688713876e-26;
NEWS_AND_MAGAZINES VS PHOTOGRAPHY:	 statistic= 8.021851296003074;	 p_value= 1.2485190207024272e-15;
NEWS_AND_MAGAZINES VS PRODUCTIVITY:	 statistic= -7.103066145053585;	 p_value= 1.349705642334489e-12;
NEWS_AND_MAGAZINES VS SHOPPING:	 statistic= 5.445777009837603;	 p_value= 5.356952105894345e-08;
NEWS_AND_MAGAZINES VS SOCIAL:	 statistic= 10.178865823166904;	 p_value= 3.634670713621055e-24;
NEWS_AND_MAGAZINES VS SPORTS:	 statistic= -5.033568890935523;	 p_value= 4.88755325520497e-07;
NEWS_AND_MAGAZINES VS TOOLS:	 statistic= -4.285820668488867;	 p_value= 1.8410919817558934e-05;
NEWS_AND_MAGAZINES VS TRAVEL_AND_LOCAL:	 statistic= 4.925701120438592;	 p_value= 8.61933411079218e-07;
NEWS_AND_MAGAZINES VS VIDEO_PLAYERS:	 statistic= -5.674451028618516;	 p_value= 1.4653784943129989e-08;
NEWS_AND_MAGAZINES VS WEATHER:	 statistic= -6.962213980501638;	 p_value= 3.6025374127991117e-12;
NEWS_AND_MAGAZINES VS GAME:	 statistic= -16.94730043703621;	 p_value= 2.7443018652838936e-64;
PARENTING VS PHOTOGRAPHY:	 statistic= 17.438810324003743;	 p_value= 2.423405665541325e-67;
PARENTING VS SHOPPING:	 statistic= 14.948801102754054;	 p_value= 4.023181088872415e-50;
PARENTING VS SOCIAL:	 statistic= 22.239393646373006;	 p_value= 9.856324241745254e-108;
PARENTING VS SPORTS:	 statistic= 6.327329532091345;	 p_value= 2.5512185660503896e-10;
PARENTING VS TOOLS:	 statistic= 5.302404376461654;	 p_value= 1.1584961377703323e-07;
PARENTING VS TRAVEL_AND_LOCAL:	 statistic= 14.568701879826808;	 p_value= 1.0202055147999838e-47;
PARENTING VS WEATHER:	 statistic= 2.2319118549850314;	 p_value= 0.02563495663758802;
PARENTING VS GAME:	 statistic= -6.836059796005194;	 p_value= 8.202718475100862e-12;
PERSONALIZATION VS PHOTOGRAPHY:	 statistic= 16.505970978636782;	 p_value= 3.422664388325102e-60;
PERSONALIZATION VS SHOPPING:	 statistic= 14.321372398764709;	 p_value= 5.784778644421565e-46;
PERSONALIZATION VS SOCIAL:	 statistic= 20.47760639105817;	 p_value= 4.0748083628672273e-91;
PERSONALIZATION VS SPORTS:	 statistic= 6.812158380988934;	 p_value= 1.0024049041761597e-11;
PERSONALIZATION VS TOOLS:	 statistic= 5.849567628287381;	 p_value= 5.078002942873831e-09;
PERSONALIZATION VS TRAVEL_AND_LOCAL:	 statistic= 13.942567946443287;	 p_value= 1.081174255847705e-43;
PERSONALIZATION VS WEATHER:	 statistic= 3.268777129300945;	 p_value= 0.001083656504723597;
PERSONALIZATION VS GAME:	 statistic= -3.106469949076777;	 p_value= 0.0018941230609620507;
PHOTOGRAPHY VS PRODUCTIVITY:	 statistic= -13.17143513802294;	 p_value= 7.648956490166284e-39;
PHOTOGRAPHY VS SHOPPING:	 statistic= -2.5529543295112225;	 p_value= 0.010720119360493252;
PHOTOGRAPHY VS SPORTS:	 statistic= -12.726510662213004;	 p_value= 8.68906036927953e-37;
PHOTOGRAPHY VS TOOLS:	 statistic= -11.348902325981264;	 p_value= 1.5046273381288267e-29;
PHOTOGRAPHY VS TRAVEL_AND_LOCAL:	 statistic= -3.0594595465909413;	 p_value= 0.002232244881867569;
PHOTOGRAPHY VS VIDEO_PLAYERS:	 statistic= -10.849450751828048;	 p_value= 6.530035862638867e-27;
PHOTOGRAPHY VS WEATHER:	 statistic= -13.891995373796503;	 p_value= 3.295525415379415e-43;
PHOTOGRAPHY VS GAME:	 statistic= -22.0786349052067;	 p_value= 1.2701626065276651e-107;
PRODUCTIVITY VS SHOPPING:	 statistic= 11.153614521314589;	 p_value= 1.6295673079852746e-28;
PRODUCTIVITY VS SOCIAL:	 statistic= 15.448834832146066;	 p_value= 1.0843860854723017e-52;
PRODUCTIVITY VS SPORTS:	 statistic= 3.7635512777777738;	 p_value= 0.0001685013605842252;
PRODUCTIVITY VS TOOLS:	 statistic= 3.4183864330676808;	 p_value= 0.0006337164706518176;
PRODUCTIVITY VS TRAVEL_AND_LOCAL:	 statistic= 10.684226601254075;	 p_value= 2.4420989390243513e-26;
PRODUCTIVITY VS GAME:	 statistic= -3.5880821619703243;	 p_value= 0.00033336274191529957;
SHOPPING VS SOCIAL:	 statistic= 3.5524906966536838;	 p_value= 0.0003851800859568873;
SHOPPING VS SPORTS:	 statistic= -10.12860048666396;	 p_value= 5.4776690015565064e-24;
SHOPPING VS TOOLS:	 statistic= -8.99402701520147;	 p_value= 3.102430792340983e-19;
SHOPPING VS VIDEO_PLAYERS:	 statistic= -9.185462213976438;	 p_value= 7.127544654460666e-20;
SHOPPING VS WEATHER:	 statistic= -11.542005375436052;	 p_value= 1.6360125041662252e-30;
SHOPPING VS GAME:	 statistic= -19.661211350050205;	 p_value= 8.242587128652746e-86;
SOCIAL VS SPORTS:	 statistic= -16.17203490448955;	 p_value= 4.1931030201717125e-58;
SOCIAL VS TOOLS:	 statistic= -14.064941244899472;	 p_value= 2.4481421475798273e-44;
SOCIAL VS TRAVEL_AND_LOCAL:	 statistic= -4.150974297188637;	 p_value= 3.364922080406402e-05;
SOCIAL VS VIDEO_PLAYERS:	 statistic= -12.21117692571958;	 p_value= 1.0609116544552642e-33;
SOCIAL VS WEATHER:	 statistic= -16.905573077921602;	 p_value= 6.841290620552108e-63;
SOCIAL VS GAME:	 statistic= -29.21325592529161;	 p_value= 2.0609927334817052e-186;
SPORTS VS TRAVEL_AND_LOCAL:	 statistic= 9.655082665825857;	 p_value= 5.893656018481679e-22;
SPORTS VS VIDEO_PLAYERS:	 statistic= -3.06321382593488;	 p_value= 0.0021965877227584293;
SPORTS VS WEATHER:	 statistic= -2.8345603322023267;	 p_value= 0.004596821101239533;
SPORTS VS GAME:	 statistic= -13.542193576558605;	 p_value= 9.943133396884526e-42;
TOOLS VS TRAVEL_AND_LOCAL:	 statistic= 8.52827417428569;	 p_value= 1.8306080286127803e-17;
TOOLS VS VIDEO_PLAYERS:	 statistic= -2.855741424135998;	 p_value= 0.004309993183893199;
TOOLS VS WEATHER:	 statistic= -2.5313609783829736;	 p_value= 0.01137996655337369;
TOOLS VS GAME:	 statistic= -10.620100386966381;	 p_value= 2.521533748857692e-26;
TRAVEL_AND_LOCAL VS VIDEO_PLAYERS:	 statistic= -8.735037050699846;	 p_value= 3.761070655496843e-18;
TRAVEL_AND_LOCAL VS WEATHER:	 statistic= -11.064931474073939;	 p_value= 3.319104779977018e-28;
TRAVEL_AND_LOCAL VS GAME:	 statistic= -19.473411291873813;	 p_value= 3.2077295426665633e-84;
VIDEO_PLAYERS VS GAME:	 statistic= -2.232882586446701;	 p_value= 0.02556012741815306;
WEATHER VS GAME:	 statistic= -6.992466709836768;	 p_value= 2.726056876278575e-12;
